key,cena,abs_rel,sq_rel,rmse,rmse_log,log10,d1,d2,d3,boundary_precision,boundary_recall,boundary_fscore,boundary_fmax,boundary_fmax_thresh,boundary_precision_at_fmax,boundary_recall_at_fmax,boundary_f_auc
seq0020__left_0089,seq0020,0.7637127041816711,5.590799808502197,11.152920722961426,4.04297399520874,0.8041499257087708,0.0901014655828476,0.16004829108715057,0.5475375652313232,0.26676976680755615,0.19388575851917267,0.22456198067213196,0.7076371605866111,0.04,0.7349214553833008,0.6823062300682068,0.28235710621461274
seq0020__left_0093,seq0020,0.76723313331604,5.40410041809082,10.416149139404297,6.4084672927856445,1.4271516799926758,0.07850033789873123,0.31575530767440796,0.5685887932777405,0.3395726680755615,0.6247934103012085,0.44000462083677755,0.811957725184878,0.04,0.7680739760398865,0.8611599206924438,0.36545471752651465
seq0020__left_0097,seq0020,0.7744048237800598,5.7727437019348145,10.997664451599121,3.1988794803619385,0.6297515630722046,0.05078292638063431,0.27999088168144226,0.5561652779579163,0.2817208468914032,0.31562739610671997,0.29771182346507014,0.7836961147268079,0.04,0.7544068694114685,0.8153514862060547,0.3147240160718647
seq0020__left_0101,seq0020,0.6880226731300354,4.688714504241943,10.337871551513672,4.053051948547363,0.7778028845787048,0.07943431288003922,0.31674879789352417,0.6035493612289429,0.26697078347206116,0.14648117125034332,0.18916922561832164,0.731470754856978,0.04,0.7749330401420593,0.6926247477531433,0.28110960409614755
seq0020__left_0105,seq0020,0.717455267906189,4.982273578643799,10.637166976928711,2.5531816482543945,0.518424391746521,0.054401740431785583,0.28243812918663025,0.5751298666000366,0.2681328356266022,0.147454172372818,0.19027209514380505,0.7087235483092481,0.04,0.7650361657142639,0.660132646560669,0.27292130909208134
seq0020__left_0109,seq0020,0.7123447060585022,4.885387897491455,10.45368480682373,2.5952982902526855,0.5289610624313354,0.045998912304639816,0.2960045039653778,0.5956894755363464,0.34202706813812256,0.19853225350379944,0.25123386787783375,0.7237304577784487,0.04,0.7700144052505493,0.6826950907707214,0.2941454747621443
seq0020__left_0113,seq0020,0.6793386936187744,4.619161605834961,10.080500602722168,3.283473253250122,0.6056830286979675,0.04286736622452736,0.4008919894695282,0.5944769978523254,0.3954065144062042,0.2404310703277588,0.29903237479435535,0.721218463542274,0.04,0.7609494924545288,0.6854304671287537,0.3036383634292356
seq0020__left_0117,seq0020,0.6391512751579285,4.479140281677246,10.959993362426758,0.8141613602638245,0.2983272969722748,0.047016680240631104,0.23267285525798798,0.6747661232948303,0.3140209913253784,0.2315956950187683,0.2665824251958889,0.7494417956994176,0.04,0.8258110880851746,0.6860017776489258,0.3209375256945772
seq0020__left_0121,seq0020,0.7108907699584961,5.042396068572998,11.040958404541016,3.7992894649505615,0.7294774055480957,0.045219700783491135,0.24762657284736633,0.5951638221740723,0.3079163134098053,0.22956234216690063,0.26302808256416216,0.7770352461324714,0.04,0.8270334005355835,0.7327377200126648,0.3211950339725009
seq0020__left_0125,seq0020,0.6898669600486755,5.020725250244141,11.442856788635254,3.425657033920288,0.624542236328125,0.04762786626815796,0.18011319637298584,0.617581307888031,0.32714390754699707,0.19463373720645905,0.24406274193783234,0.7305427166738564,0.04,0.8261038661003113,0.6547977328300476,0.295591542272472
seq0020__left_0129,seq0020,0.6773406863212585,4.934233665466309,10.589438438415527,6.62075138092041,1.4338891506195068,0.047706954181194305,0.4586449861526489,0.6402787566184998,0.27769431471824646,0.17607223987579346,0.21550402733827834,0.6737819885831322,0.04,0.7429115176200867,0.6164225339889526,0.2789870160631105
seq0020__left_0133,seq0020,0.7553380131721497,5.851923942565918,11.644147872924805,6.793249130249023,1.5266631841659546,0.04295714199542999,0.23606055974960327,0.6112614274024963,0.2264097034931183,0.17600740492343903,0.19805213808185812,0.5509440222799062,0.04,0.574700117111206,0.52907395362854,0.24469937131714586
seq0020__left_0137,seq0020,0.7649748921394348,6.138317108154297,11.974150657653809,6.806483268737793,1.5333399772644043,0.021438656374812126,0.321030855178833,0.5943771600723267,0.15124621987342834,0.09592711925506592,0.11739627114989054,0.5748098322760822,0.04,0.6450636982917786,0.5183557271957397,0.20727240715208273
seq0020__left_0141,seq0020,0.7819814682006836,6.506200313568115,12.48625659942627,5.910900115966797,1.2543754577636719,0.014859537594020367,0.3079392910003662,0.5900267362594604,0.11430118978023529,0.08958445489406586,0.10044463695875108,0.549976213870759,0.04,0.584838330745697,0.5190365314483643,0.19884382303901782
seq0020__left_0145,seq0020,0.7485756874084473,6.5532307624816895,12.520112991333008,4.260037422180176,0.827185332775116,0.014608770608901978,0.37094399333000183,0.5984892845153809,0.08141525834798813,0.06603245437145233,0.07292143408467694,0.5257021658167744,0.04,0.541812539100647,0.510522186756134,0.18308832521074833
seq0020__left_0149,seq0020,0.7086398601531982,6.35334587097168,12.641372680664062,1.0360870361328125,0.36150839924812317,0.011696076951920986,0.3844371736049652,0.612655758857727,0.0950065478682518,0.10319685935974121,0.09893248048290658,0.5902843383633051,0.04,0.5114595890045166,0.6978323459625244,0.21325398943905471
seq0020__left_0153,seq0020,0.6407846808433533,5.900837421417236,13.494882583618164,0.6314063668251038,0.25301679968833923,0.008288562297821045,0.33641698956489563,0.7638920545578003,0.10205154865980148,0.14525462687015533,0.11987941336552158,0.7037879343704092,0.04,0.7102693319320679,0.6974237561225891,0.2351167095777646
seq0020__left_0157,seq0020,0.7140957713127136,6.164068222045898,13.094545364379883,0.8510420918464661,0.32654881477355957,0.009573210030794144,0.2699461877346039,0.5979589223861694,0.07821637392044067,0.06847697496414185,0.07302336090165969,0.6324498217423797,0.04,0.6692782640457153,0.5994631052017212,0.210184307616551
seq0020__left_0161,seq0020,0.6716834902763367,5.933176517486572,13.472569465637207,0.6683818101882935,0.27250370383262634,0.006211718078702688,0.08503942936658859,0.6477845311164856,0.08195474743843079,0.06449771672487259,0.07218579919076396,0.5995418402401054,0.04,0.6504403948783875,0.5560310482978821,0.20865871166279212
seq0020__left_0165,seq0020,0.7035243511199951,5.952220439910889,13.328008651733398,0.7638267278671265,0.3049553632736206,0.007738668471574783,0.030566303059458733,0.6454644203186035,0.09489051252603531,0.076168492436409,0.08450496116486957,0.6252621232753909,0.04,0.7576586604118347,0.5322538018226624,0.2125573479131853
seq0020__left_0169,seq0020,0.7629123330116272,6.250283718109131,12.854788780212402,4.506969451904297,0.8801313638687134,0.007028218824416399,0.11292579770088196,0.6018157601356506,0.09093982726335526,0.07181328535079956,0.08025269268426602,0.6269183264882687,0.04,0.7380573153495789,0.5448700785636902,0.2079386778540631
seq0020__left_0173,seq0020,0.7678561806678772,6.3250203132629395,12.552472114562988,5.654479026794434,1.1769039630889893,0.0065315100364387035,0.2933967709541321,0.5737591981887817,0.09663935750722885,0.07674144208431244,0.0855486152408768,0.6139583359730488,0.04,0.6944103837013245,0.550212562084198,0.20223541379390275
seq0020__left_0177,seq0020,0.7725438475608826,6.381314277648926,12.503595352172852,5.591968059539795,1.1692739725112915,0.007939423434436321,0.31686604022979736,0.5442274808883667,0.09323030710220337,0.07779772579669952,0.08481774297394533,0.5626316934301954,0.04,0.5869497656822205,0.5402485132217407,0.19038712937580307
seq0020__left_0181,seq0020,0.7717132568359375,6.301316738128662,12.548694610595703,5.640583038330078,1.179423213005066,0.006512408144772053,0.2606249451637268,0.5850305557250977,0.09895128756761551,0.08216676861047745,0.08978130309970164,0.6054314075946053,0.04,0.6694176197052002,0.5526102185249329,0.20204017051230533
seq0020__left_0185,seq0020,0.7606713175773621,6.207230091094971,12.817634582519531,4.344759941101074,0.8392583131790161,0.005490035749971867,0.12833553552627563,0.5899695158004761,0.10244988650083542,0.07968369871377945,0.08964393776769956,0.6090769484975505,0.04,0.6796515583992004,0.5517804026603699,0.20107318560790463
seq0020__left_0189,seq0020,0.7682488560676575,6.2854228019714355,12.48850154876709,5.774090766906738,1.210007905960083,0.008058005943894386,0.25574791431427,0.602341890335083,0.12336792796850204,0.08693008869886398,0.10199225927898303,0.6030053572892183,0.04,0.6608432531356812,0.554476797580719,0.20240953688033292
seq0020__left_0193,seq0020,0.7650122046470642,6.283910751342773,12.427400588989258,5.804177761077881,1.2178826332092285,0.008374827913939953,0.2911129891872406,0.6006259918212891,0.10686126351356506,0.08753799647092819,0.09623926458439774,0.5927666049833955,0.04,0.6457260847091675,0.547835648059845,0.1981247171451498
seq0020__left_0197,seq0020,0.7682179808616638,6.312908172607422,12.37082290649414,5.93348503112793,1.2600055932998657,0.008809071034193039,0.310496062040329,0.5876029133796692,0.1009904220700264,0.0729166641831398,0.08468757484756716,0.5892641489339581,0.04,0.6314830780029297,0.5523366928100586,0.19457352905729577
seq0020__left_0201,seq0020,0.770975649356842,6.337966442108154,12.418120384216309,5.94384241104126,1.2628577947616577,0.00879379827529192,0.2998547852039337,0.5836593508720398,0.1028645858168602,0.07573812454938889,0.08724135032825232,0.5972278594642894,0.04,0.6309318542480469,0.5669421553611755,0.19466990405389875
seq0020__left_0205,seq0020,0.7651206254959106,6.292664527893066,12.332667350769043,5.778339385986328,1.2144683599472046,0.00984206423163414,0.31527695059776306,0.5824403166770935,0.1147863119840622,0.08846154063940048,0.09991912702995845,0.6040417993083601,0.04,0.633127748966217,0.5775108933448792,0.20081663449716364
seq0020__left_0209,seq0020,0.7743315696716309,6.305638790130615,12.682332992553711,5.144199371337891,1.0416628122329712,0.004579014144837856,0.2026190161705017,0.5835033059120178,0.0934261679649353,0.07841866463422775,0.08526710082452577,0.6271920248620945,0.04,0.6951305866241455,0.5713510513305664,0.20586822487760276
seq0020__left_0213,seq0020,0.7786298990249634,6.339849472045898,12.482122421264648,5.868159294128418,1.245151162147522,0.007643630728125572,0.2636793255805969,0.5753611922264099,0.12247934192419052,0.0874524712562561,0.10204381095783424,0.6216476898258025,0.04,0.6865914463996887,0.56792813539505,0.20084073346460293
seq0020__left_0217,seq0020,0.7828499674797058,6.355801105499268,12.675580978393555,5.296097278594971,1.0892373323440552,0.004534133244305849,0.1853014975786209,0.591640830039978,0.13110709190368652,0.09284332394599915,0.10870636840792394,0.6485907481109499,0.04,0.7259621024131775,0.5861231088638306,0.21251114933031784
